PS C:\Users\Admin\.spyder-py3\QvC-3_docs> & C:/Users/Admin/anaconda3/envs/QvC-MCC-3/python.exe c:/Users/Admin/.spyder-py3/QvC-3_docs/FT_CML.py
Using device: cuda
INFO:__main__:Loading data...
INFO:__main__:Loading model for fine-tuning...
Some weights of BertForSequenceClassification were not initialized from the model checkpoint at bert-base-uncased and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
INFO:__main__:Calculating class weights for imbalance handling...
INFO:__main__:Class weights - min: 2.831, max: 301.832, mean: 53.389
DEBUG transformers version: 4.55.4
DEBUG TrainingArguments from: transformers.training_args
INFO:__main__:Starting training...
{'loss': 1.3574, 'grad_norm': 3.1494712829589844, 'learning_rate': 1.5622041280060595e-07, 'epoch': 0.02}
{'loss': 1.3638, 'grad_norm': 3.814089775085449, 'learning_rate': 3.140188095688948e-07, 'epoch': 0.04}
{'loss': 1.364, 'grad_norm': 1.4434202909469604, 'learning_rate': 4.718172063371836e-07, 'epoch': 0.06}
{'loss': 1.346, 'grad_norm': 1.874488353729248, 'learning_rate': 6.296156031054725e-07, 'epoch': 0.08}
{'loss': 1.3277, 'grad_norm': 1.9995847940444946, 'learning_rate': 7.874139998737612e-07, 'epoch': 0.09}
{'loss': 1.3508, 'grad_norm': 2.9982564449310303, 'learning_rate': 9.452123966420501e-07, 'epoch': 0.11}
{'loss': 1.2932, 'grad_norm': 1.923729658126831, 'learning_rate': 1.103010793410339e-06, 'epoch': 0.13}
{'loss': 1.335, 'grad_norm': 1.3347746133804321, 'learning_rate': 1.2608091901786278e-06, 'epoch': 0.15}
{'loss': 1.3342, 'grad_norm': 5.746063232421875, 'learning_rate': 1.4186075869469166e-06, 'epoch': 0.17}
{'loss': 1.3513, 'grad_norm': 3.258573532104492, 'learning_rate': 1.5764059837152055e-06, 'epoch': 0.19}
{'loss': 1.3088, 'grad_norm': 3.072093963623047, 'learning_rate': 1.7342043804834943e-06, 'epoch': 0.21}
{'loss': 1.346, 'grad_norm': 3.3552370071411133, 'learning_rate': 1.8920027772517832e-06, 'epoch': 0.23}
{'loss': 1.3416, 'grad_norm': 2.714691638946533, 'learning_rate': 2.0498011740200722e-06, 'epoch': 0.25}
{'loss': 1.3023, 'grad_norm': 6.042082786560059, 'learning_rate': 2.207599570788361e-06, 'epoch': 0.27}
{'loss': 1.2689, 'grad_norm': 2.6352365016937256, 'learning_rate': 2.36539796755665e-06, 'epoch': 0.28}
{'loss': 1.2978, 'grad_norm': 2.0256619453430176, 'learning_rate': 2.5231963643249385e-06, 'epoch': 0.3}
