{'loss': 0.7042, 'grad_norm': 2.3790574073791504, 'learning_rate': 4.732897892212546e-06, 'epoch': 11.36}                                    
{'loss': 0.7005, 'grad_norm': 3.7679457664489746, 'learning_rate': 4.748674744414994e-06, 'epoch': 11.4}                                    
{'loss': 0.7169, 'grad_norm': 5.462563514709473, 'learning_rate': 4.764451596617443e-06, 'epoch': 11.44}                                    
{'loss': 0.6994, 'grad_norm': 4.164766311645508, 'learning_rate': 4.780228448819892e-06, 'epoch': 11.47}                                    
{'loss': 0.691, 'grad_norm': 2.881683111190796, 'learning_rate': 4.7960053010223405e-06, 'epoch': 11.51}                                    
{'loss': 0.7178, 'grad_norm': 3.703718900680542, 'learning_rate': 4.811782153224788e-06, 'epoch': 11.55}                                    
{'loss': 0.6845, 'grad_norm': 2.5157885551452637, 'learning_rate': 4.827559005427237e-06, 'epoch': 11.59}                                    
{'loss': 0.7081, 'grad_norm': 4.433908462524414, 'learning_rate': 4.843335857629687e-06, 'epoch': 11.62}                                    
{'loss': 0.7227, 'grad_norm': 12.669696807861328, 'learning_rate': 4.8591127098321345e-06, 'epoch': 11.66}                                    
{'loss': 0.6959, 'grad_norm': 3.1562676429748535, 'learning_rate': 4.874889562034583e-06, 'epoch': 11.7}                                    
{'loss': 0.722, 'grad_norm': 4.524282932281494, 'learning_rate': 4.890666414237031e-06, 'epoch': 11.74}                                    
{'loss': 0.7105, 'grad_norm': 3.1685221195220947, 'learning_rate': 4.906443266439481e-06, 'epoch': 11.78}                                    
{'loss': 0.7019, 'grad_norm': 2.6823036670684814, 'learning_rate': 4.9222201186419286e-06, 'epoch': 11.81}                                    
{'loss': 0.6937, 'grad_norm': 3.669297695159912, 'learning_rate': 4.937996970844377e-06, 'epoch': 11.85}                                    
{'loss': 0.7065, 'grad_norm': 4.252414703369141, 'learning_rate': 4.953773823046826e-06, 'epoch': 11.89}                                    
{'loss': 0.7122, 'grad_norm': 4.533947944641113, 'learning_rate': 4.969550675249275e-06, 'epoch': 11.93}                                    
{'loss': 0.7098, 'grad_norm': 3.571504831314087, 'learning_rate': 4.9853275274517235e-06, 'epoch': 11.97}                                    
{'eval_loss': 0.8334574699401855, 'eval_macro_f1': 0.2454905879526272, 'eval_micro_f1': 0.2691943397973209, 'eval_mean_precision': 0.15606415677515706, 'eval_mean_recall': 0.7726957068902177, 'eval_runtime': 27.6946, 'eval_samples_per_second': 762.677, 'eval_steps_per_second': 23.868, 'epoch': 12.0}
{'loss': 0.6939, 'grad_norm': 3.751192331314087, 'learning_rate': 5.001104379654171e-06, 'epoch': 12.0}                                    
{'loss': 0.6878, 'grad_norm': 8.154753684997559, 'learning_rate': 5.01688123185662e-06, 'epoch': 12.04}
{'loss': 0.6613, 'grad_norm': 2.424140691757202, 'learning_rate': 5.032658084059069e-06, 'epoch': 12.08}                                    
{'loss': 0.6586, 'grad_norm': 4.229727268218994, 'learning_rate': 5.0484349362615175e-06, 'epoch': 12.12}                                    
{'loss': 0.6705, 'grad_norm': 3.2151756286621094, 'learning_rate': 5.064211788463965e-06, 'epoch': 12.15}                                    
{'loss': 0.6767, 'grad_norm': 2.4228081703186035, 'learning_rate': 5.079988640666414e-06, 'epoch': 12.19}                                    
{'loss': 0.671, 'grad_norm': 3.5124218463897705, 'learning_rate': 5.095765492868864e-06, 'epoch': 12.23}                                    
{'loss': 0.6755, 'grad_norm': 3.4913620948791504, 'learning_rate': 5.1115423450713116e-06, 'epoch': 12.27}                                    
{'loss': 0.6783, 'grad_norm': 3.454324245452881, 'learning_rate': 5.12731919727376e-06, 'epoch': 12.31}                                    
{'loss': 0.6711, 'grad_norm': 3.189112424850464, 'learning_rate': 5.143096049476208e-06, 'epoch': 12.34}                                    
{'loss': 0.6794, 'grad_norm': 4.35581636428833, 'learning_rate': 5.158872901678658e-06, 'epoch': 12.38}                                    
{'loss': 0.6743, 'grad_norm': 2.3713226318359375, 'learning_rate': 5.174649753881106e-06, 'epoch': 12.42}                                    
{'loss': 0.6767, 'grad_norm': 3.9246840476989746, 'learning_rate': 5.190426606083554e-06, 'epoch': 12.46}                                    
{'loss': 0.6602, 'grad_norm': 3.3361053466796875, 'learning_rate': 5.206203458286003e-06, 'epoch': 12.5}                                    
{'loss': 0.6713, 'grad_norm': 2.714585304260254, 'learning_rate': 5.221980310488452e-06, 'epoch': 12.53}                                    
{'loss': 0.6675, 'grad_norm': 6.940218448638916, 'learning_rate': 5.2377571626909005e-06, 'epoch': 12.57}                                    
{'loss': 0.679, 'grad_norm': 4.400539875030518, 'learning_rate': 5.253534014893348e-06, 'epoch': 12.61}                                    
{'loss': 0.6861, 'grad_norm': 2.911189079284668, 'learning_rate': 5.269310867095797e-06, 'epoch': 12.65}                                    
{'loss': 0.6837, 'grad_norm': 3.3115921020507812, 'learning_rate': 5.285087719298246e-06, 'epoch': 12.68}                                    
{'loss': 0.6826, 'grad_norm': 3.105600118637085, 'learning_rate': 5.3008645715006946e-06, 'epoch': 12.72}                                    
{'loss': 0.6846, 'grad_norm': 4.6309638023376465, 'learning_rate': 5.3166414237031425e-06, 'epoch': 12.76}                                    
{'loss': 0.6911, 'grad_norm': 3.7444067001342773, 'learning_rate': 5.332418275905591e-06, 'epoch': 12.8}                                    
{'loss': 0.6762, 'grad_norm': 3.5494651794433594, 'learning_rate': 5.348195128108041e-06, 'epoch': 12.84}                                    
{'loss': 0.6911, 'grad_norm': 6.268951892852783, 'learning_rate': 5.363971980310489e-06, 'epoch': 12.87}                                    
{'loss': 0.6685, 'grad_norm': 5.257205486297607, 'learning_rate': 5.379748832512937e-06, 'epoch': 12.91}                                    
{'loss': 0.6752, 'grad_norm': 2.931624174118042, 'learning_rate': 5.395525684715386e-06, 'epoch': 12.95}                                    
{'loss': 0.6848, 'grad_norm': 3.9000744819641113, 'learning_rate': 5.411302536917835e-06, 'epoch': 12.99}                                    
{'eval_loss': 0.8686726689338684, 'eval_macro_f1': 0.2581504746211343, 'eval_micro_f1': 0.2917521831079341, 'eval_mean_precision': 0.16415856744510252, 'eval_mean_recall': 0.7448559312079318, 'eval_runtime': 27.5537, 'eval_samples_per_second': 766.577, 'eval_steps_per_second': 23.99, 'epoch': 13.0}
{'loss': 0.6493, 'grad_norm': 3.0143043994903564, 'learning_rate': 5.427079389120283e-06, 'epoch': 13.03}                                    
{'loss': 0.6337, 'grad_norm': 4.2231831550598145, 'learning_rate': 5.442856241322731e-06, 'epoch': 13.06}
{'loss': 0.6524, 'grad_norm': 3.1598291397094727, 'learning_rate': 5.45863309352518e-06, 'epoch': 13.1}                                    
